account_id,due_date,payment_date,days_past_due,overdue_amount,delinquency_flag
519583,2023-03-12,2023-03-12,0,4708.12,0
509062,2022-01-03,2022-01-13,10,2991.79,1
605128,2022-09-10,2022-11-09,60,3947.22,1
642785,2021-08-12,2021-10-11,60,2057.81,1
504714,2022-02-17,2022-02-22,5,4918.73,1
500588,2022-05-22,2022-06-01,10,1174.79,1
630000,2021-12-27,2022-01-16,20,2130.09,1
619244,2022-05-02,2022-05-02,0,1961.32,0
611114,2020-01-21,2020-01-21,0,1952.76,0
600074,2020-09-11,2020-09-11,0,4164.78,0
500661,2023-05-28,2023-06-17,20,4588.79,1
532552,2020-08-24,2020-09-13,20,4754.26,1
645782,2023-12-03,2024-02-01,60,2010.14,1
595397,2022-12-11,2023-02-09,60,4971.39,1
636944,2020-04-14,2020-04-14,0,3779.19,0
522554,2020-03-29,2020-05-28,60,3911.52,1
636568,2021-01-28,2021-01-28,0,3219.04,0
541178,2021-10-20,2021-11-09,20,4321.38,1
537756,2023-04-07,2023-04-12,5,4913.78,1
648810,2020-01-23,2020-01-23,0,314.25,0
619706,2020-05-13,2020-05-23,10,1235.87,1
522105,2020-08-08,2020-08-08,0,3089.3,0
541743,2023-03-08,2023-05-07,60,4551.78,1
613503,2022-08-22,2022-08-22,0,408.17,0
648900,2023-08-05,2023-08-05,0,2563.2,0
556738,2023-09-12,2023-09-12,0,1371.45,0
600566,2021-02-27,2021-02-27,0,1791.6,0
576747,2022-07-24,2022-09-22,60,4205.5,1
608378,2022-03-30,2022-05-29,60,1911.16,1
575035,2023-12-05,2024-01-04,30,1988.28,1
644923,2023-06-21,2023-06-26,5,1610.14,1
566286,2023-06-30,2023-07-05,5,1493.12,1
618398,2022-05-04,2022-05-24,20,4826.62,1
564663,2022-10-18,2022-10-23,5,3049.16,1
507349,2022-02-17,2022-03-09,20,932.13,1
626674,2024-01-09,2024-02-08,30,491.67,1
580218,2023-12-07,2024-01-06,30,1804.29,1
576365,2021-04-25,2021-06-24,60,4515.11,1
563081,2022-05-27,2022-06-26,30,906.9,1
592784,2020-08-19,2020-09-08,20,4072.44,1
641986,2023-02-21,2023-04-22,60,1247.19,1
578451,2022-03-05,2022-03-25,20,3615.6,1
580676,2023-04-02,2023-06-01,60,1986.5,1
627996,2021-10-04,2021-10-09,5,2344.45,1
571084,2022-10-05,2022-10-05,0,170.93,0
525561,2021-09-26,2021-11-25,60,522.02,1
522253,2022-08-21,2022-10-20,60,3534.41,1
634444,2022-12-04,2022-12-14,10,3282.21,1
550613,2022-10-01,2022-10-01,0,4967.8,0
537293,2023-09-06,2023-10-06,30,2798.78,1
557944,2023-03-16,2023-03-26,10,602.51,1
514589,2020-12-22,2020-12-22,0,724.77,0
576770,2020-02-24,2020-03-15,20,1996.39,1
511611,2021-11-16,2022-01-15,60,234.06,1
626765,2023-03-26,2023-04-05,10,2939.63,1
563595,2021-07-11,2021-07-11,0,590.71,0
530546,2023-01-30,2023-01-30,0,905.95,0
551043,2020-11-28,2021-01-27,60,3245.82,1
551475,2022-02-03,2022-04-04,60,2865.8,1
551596,2022-08-11,2022-08-21,10,1904.93,1
585638,2022-01-27,2022-01-27,0,1421.18,0
513507,2021-08-08,2021-09-07,30,3001.52,1
500986,2022-05-08,2022-07-07,60,3895.82,1
603110,2020-09-28,2020-10-08,10,3346.76,1
605055,2021-06-03,2021-06-23,20,2026.75,1
595380,2021-11-26,2022-01-25,60,671.73,1
565131,2020-11-02,2020-11-02,0,1626.38,0
635410,2020-06-17,2020-06-27,10,4277.56,1
600020,2021-05-26,2021-05-26,0,2943.32,0
552638,2021-11-05,2021-11-25,20,2032.82,1
578444,2022-06-10,2022-06-10,0,2311.6,0
594111,2020-11-04,2020-11-09,5,3231.21,1
562976,2024-01-31,2024-01-31,0,3798.29,0
627935,2022-04-22,2022-04-22,0,1733.6,0
637321,2020-12-17,2020-12-27,10,4665.93,1
642055,2020-10-12,2020-10-12,0,353.83,0
641574,2020-02-20,2020-02-20,0,552.12,0
600580,2023-09-16,2023-10-06,20,3827.65,1
574885,2020-07-03,2020-07-03,0,3711.91,0
503831,2020-02-22,2020-02-22,0,2537.55,0
647245,2022-06-01,2022-06-01,0,1487.66,0
590912,2020-10-05,2020-10-10,5,2388.54,1
573201,2020-04-28,2020-06-27,60,4201.99,1
560456,2023-06-24,2023-07-04,10,1694.31,1
542117,2022-11-02,2022-11-02,0,3853.93,0
535755,2020-08-08,2020-08-08,0,4158.91,0
611386,2023-05-01,2023-05-11,10,2541.67,1
577942,2022-05-25,2022-05-25,0,1534.56,0
622618,2022-07-24,2022-07-24,0,1338.44,0
610724,2022-10-26,2022-10-26,0,4285.2,0
617832,2022-04-12,2022-04-12,0,363.01,0
600531,2020-04-13,2020-04-13,0,1461.59,0
638285,2020-07-29,2020-08-08,10,3779.91,1
574016,2022-11-05,2022-11-05,0,2404.35,0
506065,2020-07-08,2020-07-08,0,3079.36,0
522575,2023-08-09,2023-09-08,30,901.75,1
520073,2021-05-16,2021-05-16,0,2753.46,0
575564,2021-09-25,2021-10-05,10,3689.64,1
545348,2021-08-31,2021-09-30,30,2814.93,1
579661,2021-04-11,2021-04-16,5,4174.7,1
588479,2022-02-01,2022-02-11,10,4701.74,1
557628,2023-12-15,2023-12-25,10,1378.06,1
510114,2020-06-13,2020-06-23,10,2756.47,1
525160,2020-01-16,2020-02-15,30,3110.51,1
527305,2023-10-18,2023-10-18,0,2324.09,0
601941,2020-04-30,2020-06-29,60,4011.14,1
539910,2020-03-17,2020-03-27,10,283.53,1
605929,2023-08-09,2023-09-08,30,2278.29,1
