account_id,due_date,payment_date,days_past_due,overdue_amount,delinquency_flag
616822,2020-04-08,2020-04-08,0,2629.13,0
539842,2021-02-20,2021-02-20,0,936.47,0
542692,2021-01-23,2021-02-12,20,1825.5,1
645716,2022-01-17,2022-03-18,60,3624.82,1
569565,2020-06-28,2020-06-28,0,2534.79,0
535159,2022-01-26,2022-03-27,60,839.96,1
588153,2024-01-12,2024-03-12,60,2789.78,1
568316,2021-05-06,2021-05-06,0,311.7,0
609232,2023-03-04,2023-03-04,0,3807.61,0
640926,2021-06-08,2021-06-08,0,3170.07,0
576490,2021-06-19,2021-07-09,20,3335.74,1
555655,2023-11-06,2023-11-16,10,447.39,1
541168,2023-09-27,2023-09-27,0,3614.33,0
634413,2023-08-07,2023-08-12,5,1046.6,1
524497,2022-09-24,2022-09-24,0,2892.54,0
523421,2023-10-23,2023-11-12,20,2949.9,1
608055,2023-08-14,2023-08-14,0,3480.66,0
500747,2023-08-30,2023-09-09,10,4219.85,1
578570,2021-11-16,2022-01-15,60,3214.8,1
542002,2021-12-03,2021-12-13,10,1231.04,1
565637,2024-01-27,2024-02-06,10,489.63,1
634570,2021-01-03,2021-01-03,0,4916.71,0
568812,2020-09-25,2020-10-15,20,517.93,1
596567,2020-04-11,2020-04-21,10,951.14,1
565622,2020-10-07,2020-11-06,30,1350.12,1
507011,2023-02-09,2023-02-09,0,2593.69,0
550554,2022-12-14,2022-12-14,0,2293.03,0
643863,2023-05-09,2023-05-09,0,3830.39,0
545265,2022-07-18,2022-07-28,10,2783.85,1
610698,2021-09-01,2021-09-06,5,3642.89,1
609641,2020-09-10,2020-11-09,60,3056.37,1
633276,2023-11-21,2023-11-26,5,1526.73,1
544595,2023-03-11,2023-03-11,0,2700.81,0
641981,2023-04-17,2023-04-17,0,4053.33,0
591047,2023-09-08,2023-10-08,30,2023.19,1
623811,2021-12-30,2021-12-30,0,551.43,0
628963,2022-07-19,2022-07-29,10,3802.14,1
522135,2023-12-05,2023-12-05,0,917.81,0
614751,2023-09-17,2023-10-07,20,2665.85,1
507737,2020-10-27,2020-10-27,0,4567.69,0
610646,2024-01-05,2024-02-04,30,4105.62,1
525755,2021-12-26,2022-01-15,20,2330.4,1
631175,2022-02-01,2022-02-01,0,4905.32,0
538630,2020-07-31,2020-09-29,60,3923.8,1
567569,2021-07-07,2021-07-07,0,2283.61,0
543192,2022-02-09,2022-02-09,0,3961.29,0
501149,2020-12-11,2020-12-21,10,4555.68,1
501811,2021-12-06,2021-12-06,0,1531.73,0
623716,2023-11-20,2024-01-19,60,1683.65,1
649105,2023-05-20,2023-07-19,60,1129.09,1
610224,2020-07-15,2020-08-14,30,2793.48,1
563254,2023-10-17,2023-10-17,0,531.99,0
598810,2023-11-08,2023-11-08,0,4114.8,0
523478,2021-01-09,2021-01-14,5,2968.5,1
506119,2020-06-13,2020-06-13,0,1787.45,0
643108,2020-05-07,2020-06-06,30,3222.63,1
533547,2021-04-27,2021-05-07,10,575.79,1
530135,2020-06-07,2020-06-12,5,1989.91,1
509553,2020-09-27,2020-09-27,0,1925.03,0
573781,2021-03-09,2021-03-19,10,572.44,1
